25-DC02SRV2016: Used memory
22-07-2025 21:31:52 1753230712 4057591808
22-07-2025 21:31:19 1753230679 4066738176
22-07-2025 21:29:49 1753230589 4197707776
22-07-2025 21:27:57 1753230477 4054568960
22-07-2025 21:26:44 1753230404 4056518656
22-07-2025 21:25:48 1753230348 4055588864
22-07-2025 21:24:44 1753230284 4055162880
22-07-2025 21:23:50 1753230230 4069982208
22-07-2025 21:22:44 1753230164 4070129664
22-07-2025 21:21:46 1753230106 4074078208
22-07-2025 21:20:44 1753230044 4058603520
22-07-2025 21:19:44 1753229984 4059693056
22-07-2025 21:18:52 1753229932 4057628672
22-07-2025 21:17:44 1753229864 4063252480
22-07-2025 21:16:44 1753229804 4065087488
22-07-2025 21:15:44 1753229744 4048883712
22-07-2025 21:14:44 1753229684 4048572416
22-07-2025 21:13:50 1753229630 4047577088
22-07-2025 21:12:44 1753229564 4052512768
22-07-2025 21:11:49 1753229509 4055085056
22-07-2025 21:10:44 1753229444 4050505728
22-07-2025 21:09:44 1753229384 4061614080
22-07-2025 21:08:48 1753229328 4073402368
22-07-2025 21:07:44 1753229264 4076462080
22-07-2025 21:06:44 1753229204 4073676800
22-07-2025 21:05:44 1753229144 4071940096
22-07-2025 21:04:44 1753229084 4067004416
22-07-2025 21:03:44 1753229024 3953958912
22-07-2025 21:02:46 1753228966 3969798144
22-07-2025 21:02:27 1753228947 3961745408
22-07-2025 21:01:37 1753228897 3947745280
22-07-2025 20:59:44 1753228784 3942887424
22-07-2025 20:58:46 1753228726 3947130880
22-07-2025 20:57:44 1753228664 3949027328
22-07-2025 20:56:44 1753228604 3953385472
22-07-2025 20:55:44 1753228544 3948462080
22-07-2025 20:54:44 1753228484 3947470848
22-07-2025 20:53:45 1753228425 3953344512
22-07-2025 20:52:44 1753228364 3952254976
22-07-2025 20:51:44 1753228304 3952390144
22-07-2025 20:50:44 1753228244 3958550528
22-07-2025 20:49:44 1753228184 3977310208
22-07-2025 20:48:44 1753228124 3989024768
22-07-2025 20:47:44 1753228064 3955871744
22-07-2025 20:46:44 1753228004 3954429952
22-07-2025 20:45:44 1753227944 3951775744
22-07-2025 20:45:04 1753227904 3951915008
22-07-2025 20:43:44 1753227824 3952607232
22-07-2025 20:42:44 1753227764 3955138560
22-07-2025 20:41:44 1753227704 3955113984
22-07-2025 20:40:44 1753227644 3947909120
22-07-2025 20:39:44 1753227584 3983147008
22-07-2025 20:38:46 1753227526 3984629760
22-07-2025 20:37:44 1753227464 3988250624
22-07-2025 20:36:44 1753227404 3989110784
22-07-2025 20:35:44 1753227344 4000559104
22-07-2025 20:34:44 1753227284 4247339008
22-07-2025 20:33:46 1753227226 4088721408
22-07-2025 20:32:44 1753227164 4091658240
