numero_processo,data_ajuizamento,tribunal,grau,nivel_sigilo,classe_codigo,classe_nome,orgao_julgador_codigo,orgao_julgador_nome,municipio_ibge,assuntos_nomes,duracao_processo_dias,ultimo_movimento_data,ultimo_movimento_codigo,ultimo_movimento_descricao
03009872620198240010,2019-04-01T08:57:33.000Z,TJSC,G1,0,81,Busca e Apreensão em Alienação Fiduciária,4601,2ª Vara Cível da Comarca de Braço do Norte,4202800,Espécies de Contratos,1352,2022-12-13T20:23:10.000Z,22,Baixa Definitiva
03000987720168240010,2016-01-19T16:55:17.000Z,TJSC,G1,0,7,Procedimento Comum Cível,4601,2ª Vara Cível da Comarca de Braço do Norte,4202800,Direito de Imagem|Liminar ,1916,2021-04-19T15:39:27.000Z,22,Baixa Definitiva
03010684320178240010,2017-04-25T18:10:42.000Z,TJSC,G1,0,7,Procedimento Comum Cível,4601,2ª Vara Cível da Comarca de Braço do Norte,4202800,Cheque,1248,2020-09-25T14:14:13.000Z,22,Baixa Definitiva
03014344820188240010,2018-05-23T15:07:33.000Z,TJSC,G1,0,7,Procedimento Comum Cível,4601,2ª Vara Cível da Comarca de Braço do Norte,4202800,Sustação de Protesto|Indenização por Dano Moral,1782,2023-04-10T13:59:16.000Z,22,Baixa Definitiva
03021316920188240010,2018-08-01T10:13:15.000Z,TJSC,G1,0,7,Procedimento Comum Cível,4601,2ª Vara Cível da Comarca de Braço do Norte,4202800,Seguro,1450,2022-07-21T15:00:22.000Z,22,Baixa Definitiva
03004872820178240010,2017-03-03T15:42:58.000Z,TJSC,G1,0,7,Procedimento Comum Cível,4601,2ª Vara Cível da Comarca de Braço do Norte,4202800,Indenização por Dano Material|Acidente de Trânsito,1462,2021-03-05T13:46:54.000Z,22,Baixa Definitiva
03004336220178240010,2017-02-24T14:25:24.000Z,TJSC,G1,0,1707,Reintegração / Manutenção de Posse,4601,2ª Vara Cível da Comarca de Braço do Norte,4202800,Esbulho / Turbação / Ameaça,1389,2020-12-14T14:54:19.000Z,22,Baixa Definitiva
03003808120178240010,2017-02-22T14:42:36.000Z,TJSC,G1,0,7,Procedimento Comum Cível,4601,2ª Vara Cível da Comarca de Braço do Norte,4202800,Cheque,1428,2021-01-20T17:29:28.000Z,22,Baixa Definitiva
03003349220178240010,2017-02-17T13:24:36.000Z,TJSC,G1,0,7,Procedimento Comum Cível,4601,2ª Vara Cível da Comarca de Braço do Norte,4202800,Compra e Venda,1994,2022-08-05T13:04:15.000Z,22,Baixa Definitiva
03001261120178240010,2017-01-30T09:37:50.000Z,TJSC,G1,0,7,Procedimento Comum Cível,4601,2ª Vara Cível da Comarca de Braço do Norte,4202800,Seguro,2143,2022-12-13T20:30:05.000Z,22,Baixa Definitiva
